iter	Passed	Remaining
591	2913	2008
592	2917	2002
593	2922	1997
594	2926	1992
595	2931	1987
596	2935	1981
597	2939	1975
598	2943	1970
599	2947	1964
600	2951	1959
601	2955	1953
602	2958	1948
603	2962	1942
604	2966	1936
605	2970	1931
606	2973	1925
607	2977	1919
608	2981	1914
609	2984	1908
610	2988	1902
611	2991	1896
612	2995	1891
613	2999	1885
614	3003	1879
615	3006	1874
616	3010	1868
617	3014	1863
618	3017	1857
619	3021	1851
620	3024	1845
621	3028	1840
622	3032	1835
623	3036	1829
624	3040	1824
625	3044	1819
626	3048	1813
627	3052	1808
628	3056	1802
629	3060	1797
630	3064	1791
631	3067	1786
632	3071	1780
633	3074	1775
634	3078	1769
635	3082	1763
636	3085	1758
637	3089	1752
638	3093	1747
639	3096	1741
640	3099	1736
641	3103	1730
642	3107	1725
643	3110	1719
644	3114	1714
645	3118	1709
646	3122	1703
647	3125	1698
648	3129	1692
649	3133	1687
650	3137	1682
651	3141	1676
652	3144	1671
653	3148	1665
654	3151	1660
655	3155	1654
656	3159	1649
657	3163	1644
658	3167	1638
659	3171	1633
660	3175	1628
661	3180	1623
662	3184	1618
663	3189	1613
664	3193	1608
665	3198	1603
666	3202	1598
667	3206	1593
668	3209	1588
669	3214	1583
670	3219	1578
671	3223	1573
672	3227	1568
673	3231	1563
674	3235	1557
675	3239	1552
676	3244	1547
677	3248	1542
678	3252	1537
679	3256	1532
680	3260	1527
681	3264	1522
682	3268	1517
683	3272	1512
684	3277	1507
685	3281	1502
686	3286	1497
687	3290	1492
688	3295	1487
689	3300	1482
690	3304	1477
691	3309	1472
692	3313	1467
693	3317	1462
694	3321	1457
695	3326	1452
696	3330	1447
697	3335	1443
698	3339	1438
699	3344	1433
700	3348	1428
701	3354	1423
702	3359	1419
703	3363	1414
704	3369	1409
705	3373	1405
706	3378	1399
707	3382	1395
708	3387	1390
709	3391	1385
710	3396	1380
711	3400	1375
712	3405	1370
713	3409	1365
714	3413	1360
715	3418	1355
716	3422	1351
717	3428	1346
718	3432	1341
719	3438	1337
720	3444	1332
721	3449	1328
722	3454	1323
723	3460	1319
724	3466	1314
725	3472	1310
726	3478	1306
727	3484	1301
728	3490	1297
729	3497	1293
730	3503	1289
731	3510	1285
732	3515	1280
733	3520	1275
734	3525	1271
735	3529	1266
736	3533	1260
737	3537	1255
738	3541	1250
739	3545	1245
740	3550	1240
741	3554	1235
742	3558	1230
743	3561	1225
744	3565	1220
745	3569	1215
746	3572	1210
747	3576	1205
748	3580	1199
749	3584	1194
750	3587	1189
751	3591	1184
752	3595	1179
753	3599	1174
754	3603	1169
755	3607	1164
756	3611	1159
757	3614	1154
758	3619	1149
759	3622	1144
760	3626	1138
761	3630	1134
762	3635	1129
763	3639	1124
764	3643	1119
765	3648	1114
766	3652	1109
767	3656	1104
768	3659	1099
769	3663	1094
770	3667	1089
771	3671	1084
772	3674	1079
773	3678	1074
774	3681	1068
775	3685	1063
776	3689	1058
777	3692	1053
778	3696	1048
779	3700	1043
780	3703	1038
781	3707	1033
782	3711	1028
783	3715	1023
784	3719	1018
785	3722	1013
786	3726	1008
787	3730	1003
788	3734	998
789	3739	994
790	3743	989
791	3747	984
792	3751	979
793	3755	974
794	3759	969
795	3763	964
796	3767	959
797	3770	954
798	3774	949
799	3777	944
800	3781	939
801	3785	934
802	3788	929
803	3792	924
804	3795	919
805	3799	914
806	3804	909
807	3807	904
808	3812	900
809	3816	895
810	3820	890
811	3824	885
812	3829	880
813	3834	876
814	3838	871
815	3842	866
816	3846	861
817	3850	856
818	3854	851
819	3858	847
820	3863	842
821	3867	837
822	3871	832
823	3876	827
824	3881	823
825	3885	818
826	3889	813
827	3894	808
828	3898	804
829	3903	799
830	3907	794
831	3911	789
832	3915	785
833	3920	780
834	3924	775
835	3929	770
836	3933	766
837	3938	761
838	3943	756
839	3947	751
840	3952	747
841	3956	742
842	3960	737
843	3965	732
844	3970	728
845	3974	723
846	3979	718
847	3984	714
848	3989	709
849	3993	704
850	3998	700
851	4003	695
852	4008	690
853	4012	686
854	4018	681
855	4024	677
856	4030	672
857	4037	668
858	4043	663
859	4048	659
860	4053	654
861	4057	649
862	4062	644
863	4066	640
864	4072	635
865	4076	630
866	4080	625
867	4083	621
868	4087	616
869	4090	611
870	4094	606
871	4097	601
872	4101	596
873	4105	591
874	4108	586
875	4112	582
876	4117	577
877	4121	572
878	4124	567
879	4128	563
880	4132	558
881	4135	553
882	4139	548
883	4142	543
884	4146	538
885	4150	533
886	4153	529
887	4157	524
888	4162	519
889	4166	514
890	4170	510
891	4175	505
892	4179	500
893	4183	495
894	4187	491
895	4191	486
896	4194	481
897	4198	476
898	4202	472
899	4206	467
900	4210	462
901	4215	457
902	4219	453
903	4224	448
904	4228	443
905	4232	439
906	4237	434
907	4241	429
908	4246	425
909	4250	420
910	4254	415
911	4259	410
912	4264	406
